Date,Time,PU_Address,DO_Address,Routing Details,PU_Address,Status
07/01/2014,07:15 AM,"Brooklyn Museum, 200 Eastern Pkwy., BK NY;","1 Brookdale Plaza, BK NY; ","PU: Brooklyn Museum, 200 Eastern Pkwy., BK NY; DO: 1 Brookdale Plaza, BK NY; ","Brooklyn Museum, 200 Eastern Pkwy., BK NY; DO: 1 Brookdale Plaza, BK NY; ",Cancelled
07/01/2014,07:30 AM,"33 Robert Dr., Short Hills NJ;","John F Kennedy International Airport, vitona Airlines; ","PU: 33 Robert Dr., Short Hills NJ; DO: John F Kennedy International Airport, vitona Airlines; ","33 Robert Dr., Short Hills NJ; DO: John F Kennedy International Airport, vitona Airlines; ",Arrived
07/01/2014,08:00 AM,"60 Glenmore Ave., BK NY;","2171 Nostrand Ave., BK NY; ","PU: 60 Glenmore Ave., BK NY; DO: 2171 Nostrand Ave., BK NY; ","60 Glenmore Ave., BK NY; DO: 2171 Nostrand Ave., BK NY; ",Assigned
07/01/2014,09:00 AM,"128 East 31 St., BK NY;","369 93rd St., BK NY; ","PU: 128 East 31 St., BK NY; DO: 369 93rd St., BK NY; ","128 East 31 St., BK NY; DO: 369 93rd St., BK NY; ",Assigned
07/01/2014,09:30 AM,"139-39 35 Ave., Flushing NY;",La Guardia Airport; ,"PU: 139-39 35 Ave., Flushing NY; DO: La Guardia Airport; ","139-39 35 Ave., Flushing NY; DO: La Guardia Airport; ",Assigned
07/01/2014,12:00 PM,"545 17 St., BK NY;",La Guardia Airport; ,"PU: 545 17 St., BK NY; DO: La Guardia Airport; ","545 17 St., BK NY; DO: La Guardia Airport; ",Arrived
07/01/2014,12:30 PM,"127 Guernsey St., BK NY;","121 Dekalb Ave., BK NY; ","PU: 127 Guernsey St., BK NY; DO: 121 Dekalb Ave., BK NY; ","127 Guernsey St., BK NY; DO: 121 Dekalb Ave., BK NY; ",Assigned
07/01/2014,01:00 PM,"657 St Marks Ave., BK NY;","240 South 3rd St., BK NY; ","PU: 657 St Marks Ave., BK NY; DO: 240 South 3rd St., BK NY; ","657 St Marks Ave., BK NY; DO: 240 South 3rd St., BK NY; ",Assigned
07/01/2014,02:30 PM,"1611 47th St., BK NY;","1048 49th St., BK NY; ","PU: 1611 47th St., BK NY; DO: 1048 49th St., BK NY; ","1611 47th St., BK NY; DO: 1048 49th St., BK NY; ",Arrived
07/01/2014,02:45 PM,"364 87th Street, BK NY;",John F Kennedy International Airport; ,"PU: 364 87th Street, BK NY; DO: John F Kennedy International Airport; ","364 87th Street, BK NY; DO: John F Kennedy International Airport; ",Assigned
07/01/2014,08:00 PM,"35-36 32 St., Astoria NY;","1342 St. Johns Pl., BK NY; ","PU: 35-36 32 St., Astoria NY; DO: 1342 St. Johns Pl., BK NY; ","35-36 32 St., Astoria NY; DO: 1342 St. Johns Pl., BK NY; ",Assigned
07/02/2014,03:30 AM,"862 East 21 Street, BK NY;",La Guardia Airport; ,"PU: 862 East 21 Street, BK NY; DO: La Guardia Airport; ","862 East 21 Street, BK NY; DO: La Guardia Airport; ",Arrived
07/02/2014,02:00 PM,"1539 71st Street, BK NY;","54 Watts Street, NY NY; ","PU: 1539 71st Street, BK NY; DO: 54 Watts Street, NY NY; ","1539 71st Street, BK NY; DO: 54 Watts Street, NY NY; ",Assigned
07/02/2014,03:00 PM,"208 Elmwood ave, BK NY;",John F Kennedy International Airport; ,"PU: 208 Elmwood ave, BK NY; DO: John F Kennedy International Airport; ","208 Elmwood ave, BK NY; DO: John F Kennedy International Airport; ",Arrived
07/02/2014,08:45 PM,"543 1 St., BK NY;",John F Kennedy International Airport; ,"PU: 543 1 St., BK NY; DO: John F Kennedy International Airport; ","543 1 St., BK NY; DO: John F Kennedy International Airport; ",Arrived
07/03/2014,05:00 AM,513 Montgomery StreetBK NY;,John F Kennedy International Airport; ,PU: 513 Montgomery StreetBK NY; DO: John F Kennedy International Airport; ,513 Montgomery StreetBK NY; DO: John F Kennedy International Airport; ,Arrived
07/03/2014,05:45 AM,"475 St Marks Ave., BK NY;","John F Kennedy International Airport, American Airlines; ","PU: 475 St Marks Ave., BK NY; DO: John F Kennedy International Airport, American Airlines; ","475 St Marks Ave., BK NY; DO: John F Kennedy International Airport, American Airlines; ",Assigned
