LocationID,Borough,Zone
1,EWR,Newark Airport
2,Queens,Jamaica Bay
3,Bronx,Allerton/Pelham Gardens
4,Manhattan,Alphabet City
5,Staten Island,Arden Heights
6,Staten Island,Arrochar/Fort Wadsworth
7,Queens,Astoria
8,Queens,Astoria Park
9,Queens,Auburndale
10,Queens,Baisley Park
11,Brooklyn,Bath Beach
12,Manhattan,Battery Park
13,Manhattan,Battery Park City
14,Brooklyn,Bay Ridge
15,Queens,Bay Terrace/Fort Totten
16,Queens,Bayside
17,Brooklyn,Bedford
18,Bronx,Bedford Park
19,Queens,Bellerose
20,Bronx,Belmont
21,Brooklyn,Bensonhurst East
22,Brooklyn,Bensonhurst West
23,Staten Island,Bloomfield/Emerson Hill
24,Manhattan,Bloomingdale
25,Brooklyn,Boerum Hill
26,Brooklyn,Borough Park
27,Queens,Breezy Point/Fort Tilden/Riis Beach
28,Queens,Briarwood/Jamaica Hills
29,Brooklyn,Brighton Beach
30,Queens,Broad Channel
31,Bronx,Bronx Park
32,Bronx,Bronxdale
33,Brooklyn,Brooklyn Heights
34,Brooklyn,Brooklyn Navy Yard
35,Brooklyn,Brownsville
36,Brooklyn,Bushwick North
37,Brooklyn,Bushwick South
38,Queens,Cambria Heights
39,Brooklyn,Canarsie
40,Brooklyn,Carroll Gardens
41,Manhattan,Central Harlem
42,Manhattan,Central Harlem North
43,Manhattan,Central Park
44,Staten Island,Charleston/Tottenville
45,Manhattan,Chinatown
46,Bronx,City Island
47,Bronx,Claremont/Bathgate
48,Manhattan,Clinton East
49,Brooklyn,Clinton Hill
50,Manhattan,Clinton West
51,Bronx,Co-Op City
52,Brooklyn,Cobble Hill
53,Queens,College Point
54,Brooklyn,Columbia Street
55,Brooklyn,Coney Island
56,Queens,Corona
57,Queens,Corona
58,Bronx,Country Club
59,Bronx,Crotona Park
60,Bronx,Crotona Park East
61,Brooklyn,Crown Heights North
62,Brooklyn,Crown Heights South
63,Brooklyn,Cypress Hills
64,Queens,Douglaston
65,Brooklyn,Downtown Brooklyn/MetroTech
66,Brooklyn,DUMBO/Vinegar Hill
67,Brooklyn,Dyker Heights
68,Manhattan,East Chelsea
69,Bronx,East Concourse/Concourse Village
70,Queens,East Elmhurst
71,Brooklyn,East Flatbush/Farragut
72,Brooklyn,East Flatbush/Remsen Village
73,Queens,East Flushing
74,Manhattan,East Harlem North
75,Manhattan,East Harlem South
76,Brooklyn,East New York
77,Brooklyn,East New York/Pennsylvania Avenue
78,Bronx,East Tremont
79,Manhattan,East Village
80,Brooklyn,East Williamsburg
81,Bronx,Eastchester
82,Queens,Elmhurst
83,Queens,Elmhurst/Maspeth
84,Staten Island,Eltingville/Annadale/Prince's Bay
85,Brooklyn,Erasmus
86,Queens,Far Rockaway
87,Manhattan,Financial District North
88,Manhattan,Financial District South
89,Brooklyn,Flatbush/Ditmas Park
90,Manhattan,Flatiron
91,Brooklyn,Flatlands
92,Queens,Flushing
93,Queens,Flushing Meadows-Corona Park
94,Bronx,Fordham South
95,Queens,Forest Hills
96,Queens,Forest Park/Highland Park
97,Brooklyn,Fort Greene
98,Queens,Fresh Meadows
99,Staten Island,Freshkills Park
100,Manhattan,Garment District
101,Queens,Glen Oaks
102,Queens,Glendale
103,Manhattan,Governor's Island/Ellis Island/Liberty Island
